-------Bs Mass Histogram Data Points -----------
  i  x(GeV)  y(evts)   |    i   x(GeV)  y(evts)
 28      4.75     110    |   28     0.14      168
 29      4.85      80    |   29     0.14      184
 30      4.95      64    |   30     0.15      130
 31      5.05      52    |   31     0.15      144
 32      5.15      44    |   32     0.16      136
 33      5.25      24    |   33     0.16      116
 34      5.35      28    |   34     0.17       94
 35      5.45      28    |   35     0.17       86
 36      5.55      12    |   36     0.18       66
 37      5.65      22    |   37     0.18       82
 38      5.75      14    |   38     0.19       64
 39      5.85       4    |   39     0.19       68
----------------------------------------------------
